@relation bookkeeperGUI

@attribute Version numeric
@attribute LOC numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute Buggy {Yes,No}

@data
1,87,4,0,4,235,137,137,137,35,Yes
1,182,5,1,5,340,252,244,252,35,Yes
1,722,15,9,15,1791,545,1571,545,35,Yes
1,58,4,1,4,202,81,173,81,35,Yes
1,121,5,2,5,363,168,348,168,35,Yes
1,329,10,5,10,1120,487,958,487,35,Yes
1,125,6,1,6,334,124,328,124,35,Yes
1,437,8,4,8,1157,536,1087,536,35,Yes
1,95,6,2,6,301,133,282,133,35,Yes
1,128,4,1,4,315,151,308,151,35,Yes
1,83,2,0,2,294,147,294,147,35,Yes
1,29,6,2,6,395,126,263,126,35,Yes
1,208,5,1,5,529,249,520,249,35,Yes
1,189,10,5,10,1450,410,958,410,35,Yes
1,353,6,4,6,931,714,728,714,5,Yes
1,123,5,1,5,416,204,409,204,35,Yes
1,25,3,0,3,103,50,100,50,35,Yes
1,108,6,0,6,391,184,369,184,35,Yes
1,6,4,0,4,127,61,122,61,35,Yes
1,77,9,5,9,377,167,324,167,35,Yes
1,24,5,1,5,172,80,161,80,35,Yes
1,40,4,0,4,216,83,167,83,35,Yes
1,442,13,7,13,2009,547,1309,547,35,Yes
1,140,8,3,8,486,198,446,198,35,Yes
1,103,10,6,10,372,140,309,140,35,Yes
1,115,7,3,7,402,178,374,178,35,Yes
1,36,5,1,5,143,67,134,67,35,Yes
1,100,5,1,5,320,138,303,138,35,Yes
1,111,5,1,5,363,170,343,170,35,Yes
1,66,6,4,6,127,101,103,101,18,Yes
1,41,1,1,1,78,78,78,78,2,Yes
1,41,3,0,3,175,87,174,87,35,Yes
1,47,3,0,3,171,85,170,85,35,No
1,19,5,3,4,161,61,159,61,35,Yes
1,68,7,4,7,376,216,365,216,35,Yes
1,197,6,4,6,687,377,666,377,35,Yes
1,142,2,2,2,255,251,253,251,0,Yes
1,112,1,1,1,193,193,193,193,0,Yes
1,321,1,1,1,514,514,514,514,0,Yes
1,109,1,1,1,204,204,204,204,0,Yes
1,20,1,1,1,144,144,144,144,0,Yes
1,55,1,1,1,98,98,98,98,0,Yes
1,126,8,4,8,381,178,359,178,35,Yes
1,58,5,1,5,237,75,229,75,35,Yes
1,301,12,7,12,698,209,602,209,35,Yes
1,59,4,1,4,196,75,189,75,35,Yes
1,319,9,4,9,1077,521,1054,521,35,Yes
1,391,10,5,10,1256,573,1176,573,35,Yes
1,106,2,0,2,296,148,296,148,35,Yes
1,104,4,0,4,357,173,347,173,35,Yes
1,84,4,0,4,305,147,295,147,35,Yes
1,39,7,1,7,1597,763,855,763,35,Yes
1,170,7,2,7,647,209,443,209,35,Yes
1,22,4,1,4,113,54,108,54,35,Yes
1,10,3,0,3,81,38,76,38,35,Yes
1,41,3,0,3,200,98,196,98,35,Yes
1,15,4,0,4,87,38,77,38,35,Yes
1,25,4,1,4,192,94,163,94,35,Yes
1,44,4,1,4,188,94,173,94,35,Yes
1,195,3,3,3,291,246,261,246,2,Yes
1,57,1,1,1,90,90,90,90,0,Yes
1,34,4,2,4,74,61,71,61,16,Yes
1,368,11,6,11,1527,607,1423,607,35,Yes
1,92,8,3,8,297,132,271,132,25,Yes
1,215,3,3,3,348,343,345,343,2,Yes
1,17,1,1,1,47,47,47,47,0,No
1,17,1,1,1,47,47,47,47,0,No
1,17,1,1,1,47,47,47,47,0,No
1,16,1,1,1,46,46,46,46,0,No
1,17,1,1,1,47,47,47,47,0,No
1,93,1,1,1,136,136,136,136,0,Yes
1,188,1,1,1,261,261,261,261,0,Yes
1,75,2,1,2,114,113,113,113,5,Yes
1,173,5,1,5,534,256,514,256,35,Yes
1,180,13,6,13,498,176,433,176,35,Yes
1,201,7,2,7,507,232,474,232,35,Yes
1,203,7,2,7,644,305,610,305,35,Yes
1,136,3,2,3,247,222,219,222,3,Yes
1,752,11,5,11,1917,720,1760,720,35,Yes
1,60,3,2,3,99,90,92,90,14,Yes
1,32,4,0,4,157,74,149,74,35,Yes
1,151,7,2,7,381,178,366,178,35,Yes
1,62,3,2,3,122,116,118,116,6,Yes
1,23,1,1,1,55,55,55,55,2,Yes
1,72,5,1,5,340,163,317,163,35,Yes
1,59,5,1,5,221,88,202,88,35,Yes
1,77,6,2,6,248,117,237,117,35,Yes
1,35,4,1,4,128,60,123,60,35,Yes
1,28,4,0,4,442,359,432,359,35,No
1,6,1,0,1,42,42,42,42,2,No
